Timestamp Temperature Humidity(%)
2024-08-06 23:14:41 25.56 70.66
2024-08-06 23:14:42 25.58 70.60
2024-08-06 23:14:43 25.61 70.54
2024-08-06 23:14:44 25.62 70.43
2024-08-06 23:14:45 25.62 70.29
2024-08-06 23:14:46 25.61 70.19
2024-08-06 23:14:47 25.62 70.12
2024-08-06 23:14:48 25.62 70.08
2024-08-06 23:14:49 25.61 70.07
2024-08-06 23:14:50 25.62 70.07
2024-08-06 23:14:51 25.64 70.11
2024-08-06 23:14:53 25.61 70.13
2024-08-06 23:14:54 25.62 70.22
2024-08-06 23:14:55 25.65 70.28
2024-08-06 23:14:56 25.62 70.21
2024-08-06 23:14:57 25.59 70.25
2024-08-06 23:14:58 25.60 70.37
2024-08-06 23:14:59 25.60 70.36
2024-08-06 23:15:00 25.57 70.34
2024-08-06 23:15:01 25.58 70.38
2024-08-06 23:15:02 25.58 70.43
2024-08-06 23:15:03 25.58 70.50
2024-08-06 23:15:04 25.60 70.55
2024-08-06 23:15:05 25.60 70.61
2024-08-06 23:15:06 25.60 70.61
2024-08-06 23:15:07 25.59 70.58
2024-08-06 23:15:08 25.60 70.59
2024-08-06 23:15:09 25.62 70.61
2024-08-06 23:15:10 25.60 70.60
2024-08-06 23:15:11 25.62 70.67
2024-08-06 23:15:12 25.60 70.71
2024-08-06 23:15:13 25.63 70.72
2024-08-06 23:15:14 25.63 70.81
2024-08-06 23:15:15 25.63 70.87
2024-08-06 23:15:16 25.65 70.91
2024-08-06 23:15:17 25.67 70.90
2024-08-06 23:15:18 25.65 70.93
2024-08-06 23:15:19 25.65 70.93
2024-08-06 23:15:20 25.68 70.92
2024-08-06 23:15:21 25.69 70.94
2024-08-06 23:15:22 25.70 70.92
2024-08-06 23:15:23 25.70 70.90
2024-08-06 23:15:24 25.71 70.88
2024-08-06 23:15:25 25.69 70.84
2024-08-06 23:15:26 25.71 70.76
2024-08-06 23:15:27 25.70 70.78
2024-08-06 23:15:28 25.69 70.71
2024-08-06 23:15:29 25.70 70.63
2024-08-06 23:15:30 25.66 70.35
2024-08-06 23:15:31 25.64 70.33
2024-08-06 23:15:32 25.65 70.24
2024-08-06 23:15:33 25.65 70.22
2024-08-06 23:15:34 25.64 70.14
2024-08-06 23:15:35 25.64 70.11
2024-08-06 23:15:36 25.65 70.12
2024-08-06 23:15:37 25.63 70.09
2024-08-06 23:15:38 25.61 70.16
2024-08-06 23:15:39 25.61 70.14
2024-08-06 23:15:40 25.60 70.12
2024-08-06 23:15:41 25.61 70.02
2024-08-06 23:15:42 25.59 69.96
2024-08-06 23:15:43 25.61 69.89
2024-08-06 23:15:44 25.61 69.77
2024-08-06 23:15:45 25.61 69.69
2024-08-06 23:15:46 25.60 69.61
2024-08-06 23:15:47 25.60 69.58
2024-08-06 23:15:48 25.61 69.62
2024-08-06 23:15:49 25.59 69.56
2024-08-06 23:15:50 25.59 69.60
2024-08-06 23:15:51 25.61 69.71
2024-08-06 23:15:52 25.59 69.74
2024-08-06 23:15:53 25.59 69.69
2024-08-06 23:15:54 25.57 69.65
2024-08-06 23:15:55 25.57 69.71
2024-08-06 23:15:56 25.54 69.68
2024-08-06 23:15:57 25.51 69.70
2024-08-06 23:15:58 25.54 69.72
2024-08-06 23:16:00 25.47 69.72
2024-08-06 23:16:01 25.45 69.76
2024-08-06 23:16:02 25.46 69.78
2024-08-06 23:16:03 25.45 69.82
2024-08-06 23:16:04 25.48 69.89
2024-08-06 23:16:05 25.46 70.00
2024-08-06 23:16:06 25.45 70.10
2024-08-06 23:16:07 25.45 70.15
2024-08-06 23:16:08 25.45 70.20
2024-08-06 23:16:09 25.45 70.28
2024-08-06 23:16:10 25.46 70.32
2024-08-06 23:16:11 25.47 70.44
2024-08-06 23:16:12 25.49 70.46
2024-08-06 23:16:13 25.50 70.47
2024-08-06 23:16:14 25.50 70.47
2024-08-06 23:16:15 25.50 70.49
2024-08-06 23:16:16 25.52 70.49
2024-08-06 23:16:17 25.52 70.47
2024-08-06 23:16:18 25.55 70.49
2024-08-06 23:16:19 25.50 70.43
2024-08-06 23:16:20 25.53 70.39
2024-08-06 23:16:21 25.53 70.39
2024-08-06 23:16:22 25.53 70.40
2024-08-06 23:16:23 25.56 70.36
2024-08-06 23:16:24 25.56 70.37
2024-08-06 23:16:25 25.57 70.36
2024-08-06 23:16:26 25.58 70.39
2024-08-06 23:16:27 25.58 70.37
2024-08-06 23:16:28 25.58 70.36
2024-08-06 23:16:29 25.58 70.10
2024-08-06 23:16:30 25.56 69.95
2024-08-06 23:16:31 25.55 69.81
2024-08-06 23:16:32 25.51 69.74
2024-08-06 23:16:33 25.51 69.70
2024-08-06 23:16:34 25.52 69.71
2024-08-06 23:16:35 25.54 69.71
2024-08-06 23:16:36 25.53 69.70
2024-08-06 23:16:37 25.52 69.69
2024-08-06 23:16:38 25.53 69.70
2024-08-06 23:16:39 25.52 69.70
2024-08-06 23:16:40 25.49 69.67
2024-08-06 23:16:41 25.50 69.68
2024-08-06 23:16:42 25.49 69.51
2024-08-06 23:16:43 25.49 69.38
2024-08-06 23:16:44 25.48 69.30
2024-08-06 23:16:45 25.50 69.11
2024-08-06 23:16:46 25.46 68.95
2024-08-06 23:16:47 25.46 68.87
2024-08-06 23:16:48 25.47 68.88
2024-08-06 23:16:49 25.46 68.84
2024-08-06 23:16:50 25.45 68.89
2024-08-06 23:16:51 25.46 68.93
2024-08-06 23:16:52 25.46 69.02
2024-08-06 23:16:53 25.46 69.08
