Timestamp Temperature(°C) Humidity(%)
2024-08-06 23:17:54 25.35 68.87
2024-08-06 23:17:55 25.40 68.77
2024-08-06 23:17:56 25.43 68.79
2024-08-06 23:17:57 25.42 68.78
2024-08-06 23:17:58 25.41 68.75
2024-08-06 23:17:59 25.38 68.77
2024-08-06 23:18:00 25.37 68.79
2024-08-06 23:18:01 25.38 68.81
2024-08-06 23:18:02 25.39 68.90
2024-08-06 23:18:03 25.40 68.84
2024-08-06 23:18:04 25.39 68.88
2024-08-06 23:18:05 25.39 68.89
2024-08-06 23:18:06 25.39 69.04
2024-08-06 23:18:07 25.39 69.17
2024-08-06 23:18:08 25.40 69.25
2024-08-06 23:18:09 25.43 69.36
2024-08-06 23:18:10 25.41 69.41
2024-08-06 23:18:11 25.44 69.51
2024-08-06 23:18:12 25.43 69.53
2024-08-06 23:18:13 25.44 69.57
2024-08-06 23:18:14 25.46 69.59
2024-08-06 23:18:15 25.44 69.58
2024-08-06 23:18:17 25.47 69.64
2024-08-06 23:18:18 25.49 69.68
2024-08-06 23:18:19 25.50 69.71
2024-08-06 23:18:20 25.48 69.77
2024-08-06 23:18:21 25.50 69.80
2024-08-06 23:18:22 25.53 69.83
2024-08-06 23:18:23 25.56 70.73
2024-08-06 23:18:24 25.56 71.06
2024-08-06 23:18:25 25.56 70.72
2024-08-06 23:18:26 25.56 70.47
2024-08-06 23:18:27 25.57 70.38
2024-08-06 23:18:28 25.56 70.23
2024-08-06 23:18:29 25.49 69.74
2024-08-06 23:18:30 25.49 69.71
2024-08-06 23:18:31 25.49 69.44
2024-08-06 23:18:32 25.47 69.34
2024-08-06 23:18:33 25.45 69.48
2024-08-06 23:18:34 25.47 69.29
2024-08-06 23:18:35 25.46 69.17
2024-08-06 23:18:36 25.48 69.11
2024-08-06 23:18:37 25.49 69.08
2024-08-06 23:18:38 25.50 69.09
2024-08-06 23:18:39 25.50 69.06
2024-08-06 23:18:40 25.50 69.03
2024-08-06 23:18:41 25.50 68.89
2024-08-06 23:18:42 25.49 68.75
2024-08-06 23:18:43 25.50 68.64
2024-08-06 23:18:44 25.50 68.48
2024-08-06 23:18:45 25.49 68.43
2024-08-06 23:18:46 25.47 68.10
2024-08-06 23:18:47 25.45 68.07
2024-08-06 23:18:48 25.43 67.91
2024-08-06 23:18:49 25.43 67.87
2024-08-06 23:18:50 25.42 67.83
2024-08-06 23:18:51 25.44 67.88
2024-08-06 23:18:52 25.42 68.02
2024-08-06 23:18:53 25.44 68.20
2024-08-06 23:18:54 25.44 68.27
2024-08-06 23:18:55 25.44 68.36
2024-08-06 23:18:56 25.46 68.34
2024-08-06 23:18:57 25.41 68.33
2024-08-06 23:18:58 25.42 68.26
2024-08-06 23:18:59 25.36 68.25
2024-08-06 23:19:00 25.38 68.25
2024-08-06 23:19:01 25.38 68.33
2024-08-06 23:19:02 25.38 68.36
2024-08-06 23:19:03 25.37 68.31
2024-08-06 23:19:04 25.36 68.35
2024-08-06 23:19:05 25.35 68.41
2024-08-06 23:19:06 25.36 68.49
2024-08-06 23:19:07 25.39 68.50
2024-08-06 23:19:08 25.40 68.55
2024-08-06 23:19:09 25.41 68.56
2024-08-06 23:19:10 25.42 68.59
2024-08-06 23:19:11 25.42 68.69
2024-08-06 23:19:12 25.41 68.73
2024-08-06 23:19:13 25.44 68.82
2024-08-06 23:19:14 25.44 68.86
2024-08-06 23:19:15 25.44 68.89
2024-08-06 23:19:16 25.46 68.98
2024-08-06 23:19:17 25.44 69.04
2024-08-06 23:19:18 25.44 69.06
2024-08-06 23:19:19 25.45 69.13
2024-08-06 23:19:20 25.46 69.16
2024-08-06 23:19:21 25.47 69.18
2024-08-06 23:19:23 25.47 69.21
2024-08-06 23:19:24 25.49 69.20
2024-08-06 23:19:25 25.51 69.19
2024-08-06 23:19:26 25.51 69.21
2024-08-06 23:19:27 25.50 69.20
2024-08-06 23:19:28 25.48 68.96
