Timestamp Temperature(°C) Humidity(%)
2024-09-23 05:10:06 25.90 51.50
2024-09-23 05:10:08 25.92 51.50
2024-09-23 05:10:09 25.92 51.51
2024-09-23 05:10:11 25.92 51.50
2024-09-23 05:10:12 25.94 51.52
2024-09-23 05:10:14 25.92 51.52
2024-09-23 05:10:15 25.92 51.55
2024-09-23 05:10:17 25.90 51.51
2024-09-23 05:10:18 25.92 51.53
2024-09-23 05:10:20 25.94 51.50
2024-09-23 05:10:21 25.93 51.51
2024-09-23 05:10:23 25.93 51.54
2024-09-23 05:10:24 25.92 51.49
2024-09-23 05:10:26 25.92 51.53
2024-09-23 05:10:27 25.92 51.52
2024-09-23 05:10:29 25.93 51.50
2024-09-23 05:10:30 25.93 51.57
2024-09-23 05:10:32 25.93 51.53
2024-09-23 05:10:33 25.93 51.52
2024-09-23 05:10:35 25.92 51.56
2024-09-23 05:10:36 25.92 51.49
2024-09-23 05:10:38 25.93 51.55
2024-09-23 05:10:39 25.93 51.54
2024-09-23 05:10:41 25.93 51.60
2024-09-23 05:10:42 25.92 51.52
2024-09-23 05:10:44 25.92 51.55
2024-09-23 05:10:45 25.90 51.57
2024-09-23 05:10:47 25.94 51.57
2024-09-23 05:10:49 25.91 51.54
2024-09-23 05:10:50 25.91 51.53
2024-09-23 05:10:52 25.92 51.53
2024-09-23 05:10:53 25.92 51.56
2024-09-23 05:10:55 25.92 51.55
2024-09-23 05:10:56 25.92 51.51
2024-09-23 05:10:58 25.91 51.56
2024-09-23 05:10:59 25.90 51.52
2024-09-23 05:11:01 25.92 51.54
2024-09-23 05:11:02 25.92 51.53
2024-09-23 05:11:04 25.91 51.52
2024-09-23 05:11:05 25.92 51.52
2024-09-23 05:11:07 25.94 51.56
2024-09-23 05:11:08 25.92 51.55
2024-09-23 05:11:10 25.94 51.55
2024-09-23 05:11:11 25.92 51.52
2024-09-23 05:11:13 25.92 51.55
2024-09-23 05:11:14 25.91 51.53
2024-09-23 05:11:16 25.89 51.55
2024-09-23 05:11:17 25.91 51.50
2024-09-23 05:11:19 25.91 51.56
2024-09-23 05:11:20 25.91 51.52
2024-09-23 05:11:22 25.91 51.55
2024-09-23 05:11:23 25.91 51.53
2024-09-23 05:11:25 25.91 51.55
2024-09-23 05:11:26 25.89 51.55
2024-09-23 05:11:28 25.91 51.55
2024-09-23 05:11:29 25.92 51.53
2024-09-23 05:11:31 25.90 51.55
2024-09-23 05:11:32 25.92 51.55
2024-09-23 05:11:34 25.91 51.55
2024-09-23 05:11:35 25.94 51.58
2024-09-23 05:11:37 25.92 51.52
2024-09-23 05:11:38 25.91 51.55
2024-09-23 05:11:40 25.92 51.53
2024-09-23 05:11:41 25.91 51.51
2024-09-23 05:11:43 25.92 51.50
2024-09-23 05:11:44 25.90 51.53
2024-09-23 05:11:46 25.92 51.59
2024-09-23 05:11:47 25.91 51.52
2024-09-23 05:11:49 25.92 51.54
2024-09-23 05:11:51 25.91 51.51
2024-09-23 05:11:52 25.91 51.59
2024-09-23 05:11:54 25.93 51.51
2024-09-23 05:11:55 25.91 51.55
2024-09-23 05:11:57 25.92 51.48
2024-09-23 05:11:58 25.91 51.54
2024-09-23 05:12:00 25.90 51.56
2024-09-23 05:12:01 25.92 51.59
2024-09-23 05:12:03 25.92 51.57
2024-09-23 05:12:04 25.92 51.58
2024-09-23 05:12:06 25.91 51.54
2024-09-23 05:12:07 25.91 51.56
2024-09-23 05:12:09 25.91 51.57
2024-09-23 05:12:10 25.93 51.59
2024-09-23 05:12:12 25.91 51.60
2024-09-23 05:12:13 25.92 51.58
2024-09-23 05:12:15 25.92 51.56
2024-09-23 05:12:16 25.91 51.62
2024-09-23 05:12:18 25.90 51.60
2024-09-23 05:12:19 25.92 51.59
2024-09-23 05:12:21 25.89 51.57
2024-09-23 05:12:22 25.89 51.56
2024-09-23 05:12:24 25.91 51.57
2024-09-23 05:12:25 25.91 51.57
2024-09-23 05:12:27 25.90 51.57
2024-09-23 05:12:28 25.90 51.56
2024-09-23 05:12:30 25.91 51.61
2024-09-23 05:12:31 25.90 51.56
2024-09-23 05:12:33 25.90 51.58
2024-09-23 05:12:34 25.91 51.60
2024-09-23 05:12:36 25.91 51.61
2024-09-23 05:12:37 25.91 51.62
2024-09-23 05:12:39 25.90 51.56
2024-09-23 05:12:40 25.92 51.61
2024-09-23 05:12:42 25.91 51.59
2024-09-23 05:12:43 25.91 51.59
2024-09-23 05:12:45 25.90 51.54
2024-09-23 05:12:46 25.91 51.57
2024-09-23 05:12:48 25.90 51.55
2024-09-23 05:12:49 25.90 51.64
2024-09-23 05:12:51 25.92 51.62
2024-09-23 05:12:53 25.90 51.57
2024-09-23 05:12:54 25.89 51.57
2024-09-23 05:12:56 25.91 51.62
2024-09-23 05:12:57 25.90 51.59
2024-09-23 05:12:59 25.90 51.54
2024-09-23 05:13:00 25.91 51.61
2024-09-23 05:13:02 25.89 51.57
2024-09-23 05:13:03 25.91 51.59
2024-09-23 05:13:05 25.90 51.59
2024-09-23 05:13:06 25.91 51.61
2024-09-23 05:13:08 25.90 51.58
2024-09-23 05:13:09 25.92 51.59
2024-09-23 05:13:11 25.91 51.58
2024-09-23 05:13:12 25.90 51.61
2024-09-23 05:13:14 25.93 51.55
2024-09-23 05:13:15 25.91 51.55
2024-09-23 05:13:17 25.92 51.57
2024-09-23 05:13:18 25.91 51.57
2024-09-23 05:13:20 25.91 51.56
2024-09-23 05:13:21 25.92 51.55
2024-09-23 05:13:23 25.91 51.54
2024-09-23 05:13:24 25.91 51.56
2024-09-23 05:13:26 25.90 51.57
2024-09-23 05:13:27 25.90 51.59
2024-09-23 05:13:29 25.90 51.56
2024-09-23 05:13:30 25.88 51.57
2024-09-23 05:13:32 25.90 51.60
2024-09-23 05:13:33 25.89 51.56
2024-09-23 05:13:35 25.91 51.62
2024-09-23 05:13:36 25.92 51.60
2024-09-23 05:13:38 25.89 51.56
2024-09-23 05:13:39 25.91 51.64
2024-09-23 05:13:41 25.89 51.54
2024-09-23 05:13:42 25.89 51.54
2024-09-23 05:13:44 25.91 51.59
2024-09-23 05:13:45 25.90 51.58
2024-09-23 05:13:47 25.90 51.57
2024-09-23 05:13:48 25.92 51.61
2024-09-23 05:13:50 25.90 51.60
2024-09-23 05:13:52 25.90 51.59
2024-09-23 05:13:53 25.89 51.58
2024-09-23 05:13:55 25.91 51.63
2024-09-23 05:13:56 25.90 51.58
2024-09-23 05:13:58 25.89 51.60
2024-09-23 05:13:59 25.91 51.56
2024-09-23 05:14:01 25.90 51.56
