Timestamp Temperature(°C) Humidity(%)
2024-09-23 05:10:06 26.14 51.50
2024-09-23 05:10:08 26.16 51.50
2024-09-23 05:10:09 26.16 51.51
2024-09-23 05:10:11 26.16 51.50
2024-09-23 05:10:12 26.18 51.52
2024-09-23 05:10:14 26.16 51.52
2024-09-23 05:10:15 26.16 51.55
2024-09-23 05:10:17 26.14 51.51
2024-09-23 05:10:18 26.16 51.53
2024-09-23 05:10:20 26.18 51.50
2024-09-23 05:10:21 26.17 51.51
2024-09-23 05:10:23 26.17 51.54
2024-09-23 05:10:24 26.16 51.49
2024-09-23 05:10:26 26.16 51.53
2024-09-23 05:10:27 26.16 51.52
2024-09-23 05:10:29 26.17 51.50
2024-09-23 05:10:30 26.17 51.57
2024-09-23 05:10:32 26.17 51.53
2024-09-23 05:10:33 26.17 51.52
2024-09-23 05:10:35 26.16 51.56
2024-09-23 05:10:36 26.16 51.49
2024-09-23 05:10:38 26.17 51.55
2024-09-23 05:10:39 26.17 51.54
2024-09-23 05:10:41 26.17 51.60
2024-09-23 05:10:42 26.16 51.52
2024-09-23 05:10:44 26.16 51.55
2024-09-23 05:10:45 26.14 51.57
2024-09-23 05:10:47 26.18 51.57
2024-09-23 05:10:49 26.15 51.54
2024-09-23 05:10:50 26.15 51.53
2024-09-23 05:10:52 26.16 51.53
2024-09-23 05:10:53 26.16 51.56
2024-09-23 05:10:55 26.16 51.55
2024-09-23 05:10:56 26.16 51.51
2024-09-23 05:10:58 26.15 51.56
2024-09-23 05:10:59 26.14 51.52
2024-09-23 05:11:01 26.16 51.54
2024-09-23 05:11:02 26.16 51.53
2024-09-23 05:11:04 26.15 51.52
2024-09-23 05:11:05 26.16 51.52
2024-09-23 05:11:07 26.18 51.56
2024-09-23 05:11:08 26.16 51.55
2024-09-23 05:11:10 26.18 51.55
2024-09-23 05:11:11 26.16 51.52
2024-09-23 05:11:13 26.16 51.55
2024-09-23 05:11:14 26.17 51.53
2024-09-23 05:11:16 26.13 51.55
2024-09-23 05:11:17 26.15 51.50
2024-09-23 05:11:19 26.15 51.56
2024-09-23 05:11:20 26.15 51.52
2024-09-23 05:11:22 26.15 51.55
2024-09-23 05:11:23 26.15 51.53
2024-09-23 05:11:25 26.15 51.55
2024-09-23 05:11:26 26.13 51.55
2024-09-23 05:11:28 26.15 51.55
2024-09-23 05:11:29 26.16 51.53
2024-09-23 05:11:31 26.14 51.55
2024-09-23 05:11:32 26.16 51.55
2024-09-23 05:11:34 26.15 51.55
2024-09-23 05:11:35 26.18 51.58
2024-09-23 05:11:37 26.16 51.52
2024-09-23 05:11:38 26.15 51.55
2024-09-23 05:11:40 26.16 51.53
2024-09-23 05:11:41 26.15 51.51
2024-09-23 05:11:43 26.16 51.50
2024-09-23 05:11:44 26.14 51.53
2024-09-23 05:11:46 26.16 51.59
2024-09-23 05:11:47 26.15 51.52
2024-09-23 05:11:49 26.16 51.54
2024-09-23 05:11:51 26.15 51.51
2024-09-23 05:11:52 26.15 51.59
2024-09-23 05:11:54 26.17 51.51
2024-09-23 05:11:55 26.15 51.55
2024-09-23 05:11:57 26.16 51.48
2024-09-23 05:11:58 26.15 51.54
