Timestamp Temperature(°C) Humidity(%)
2024-09-23 20:23:39 23.40 49.65
2024-09-23 20:23:40 23.41 49.65
2024-09-23 20:23:42 23.40 49.63
2024-09-23 20:23:43 23.40 49.63
2024-09-23 20:23:45 23.38 49.61
2024-09-23 20:23:46 23.41 49.63
2024-09-23 20:23:48 23.41 49.64
2024-09-23 20:23:49 23.42 49.63
2024-09-23 20:23:51 23.40 49.59
2024-09-23 20:23:52 23.41 49.60
2024-09-23 20:23:54 23.41 49.61
2024-09-23 20:23:55 23.41 49.60
2024-09-23 20:23:57 23.42 49.60
2024-09-23 20:23:58 23.43 49.61
2024-09-23 20:24:00 23.43 49.60
2024-09-23 20:24:01 23.44 49.60
2024-09-23 20:24:03 23.44 49.57
2024-09-23 20:24:04 23.43 49.58
2024-09-23 20:24:06 23.43 49.57
2024-09-23 20:24:07 23.43 49.57
2024-09-23 20:24:09 23.43 49.56
2024-09-23 20:24:10 23.42 49.52
2024-09-23 20:24:12 23.43 49.54
2024-09-23 20:24:13 23.43 49.54
2024-09-23 20:24:15 23.42 49.52
2024-09-23 20:24:16 23.44 49.55
2024-09-23 20:24:18 23.41 49.56
2024-09-23 20:24:19 23.43 49.59
2024-09-23 20:24:21 23.43 49.56
2024-09-23 20:24:22 23.43 49.57
2024-09-23 20:24:24 23.43 49.59
2024-09-23 20:24:26 23.45 49.56
2024-09-23 20:24:27 23.45 49.57
2024-09-23 20:24:29 23.44 49.55
2024-09-23 20:24:30 23.44 49.51
2024-09-23 20:24:32 23.45 49.55
2024-09-23 20:24:33 23.43 49.55
2024-09-23 20:24:35 23.44 49.55
2024-09-23 20:24:36 23.45 49.55
2024-09-23 20:24:38 23.45 49.55
2024-09-23 20:24:39 23.45 49.57
2024-09-23 20:24:41 23.45 49.55
2024-09-23 20:24:42 23.46 49.55
2024-09-23 20:24:44 23.45 49.52
2024-09-23 20:24:45 23.44 49.49
2024-09-23 20:24:47 23.45 49.54
2024-09-23 20:24:48 23.45 49.55
2024-09-23 20:24:50 23.43 49.49
2024-09-23 20:24:51 23.42 49.50
