Timestamp Temperature(°C) Humidity(%)
2024-09-21 21:58:36 24.34 46.67
2024-09-21 21:58:37 24.32 46.66
2024-09-21 21:58:39 24.31 46.62
2024-09-21 21:58:40 24.32 46.66
2024-09-21 21:58:42 24.35 46.69
2024-09-21 21:58:43 24.35 46.71
2024-09-21 21:58:45 24.34 46.67
2024-09-21 21:58:46 24.34 46.68
2024-09-21 21:58:48 24.34 46.71
2024-09-21 21:58:49 24.35 46.70
2024-09-21 21:58:51 24.36 46.72
2024-09-21 21:58:53 24.34 46.66
2024-09-21 21:58:54 24.34 46.65
2024-09-21 21:58:56 24.34 46.66
2024-09-21 21:58:57 24.35 46.65
2024-09-21 21:58:59 24.35 46.70
2024-09-21 21:59:00 24.35 46.69
2024-09-21 21:59:02 24.35 46.69
2024-09-21 21:59:03 24.36 46.73
2024-09-21 21:59:05 24.33 46.71
2024-09-21 21:59:06 24.36 46.72
2024-09-21 21:59:08 24.34 46.73
2024-09-21 21:59:09 24.35 46.69
2024-09-21 21:59:11 24.36 46.72
2024-09-21 21:59:12 24.35 46.72
2024-09-21 21:59:14 24.35 46.76
2024-09-21 21:59:15 24.34 46.67
2024-09-21 21:59:17 24.37 46.72
2024-09-21 21:59:18 24.36 46.68
2024-09-21 21:59:20 24.35 46.72
2024-09-21 21:59:21 24.35 46.69
2024-09-21 21:59:23 24.35 46.72
2024-09-21 21:59:24 24.36 46.77
2024-09-21 21:59:26 24.34 46.74
2024-09-21 21:59:27 24.36 46.74
2024-09-21 21:59:29 24.35 46.73
2024-09-21 21:59:30 24.37 46.75
2024-09-21 21:59:32 24.36 46.75
2024-09-21 21:59:33 24.36 46.77
2024-09-21 21:59:35 24.36 46.73
2024-09-21 21:59:36 24.37 46.81
2024-09-21 21:59:38 24.36 46.73
2024-09-21 21:59:39 24.37 46.74
2024-09-21 21:59:41 24.37 46.74
2024-09-21 21:59:42 24.36 46.73
2024-09-21 21:59:44 24.36 46.73
2024-09-21 21:59:45 24.35 46.77
2024-09-21 21:59:47 24.38 46.74
2024-09-21 21:59:48 24.37 46.77
2024-09-21 21:59:50 24.36 46.71
2024-09-21 21:59:51 24.36 46.75
2024-09-21 21:59:53 24.35 46.78
2024-09-21 21:59:55 24.38 46.77
2024-09-21 21:59:56 24.35 46.71
2024-09-21 21:59:58 24.37 46.73
2024-09-21 21:59:59 24.36 46.72
2024-09-21 22:00:01 24.38 46.74
2024-09-21 22:00:02 24.37 46.78
2024-09-21 22:00:04 24.39 46.77
2024-09-21 22:00:05 24.39 46.76
2024-09-21 22:00:07 24.37 46.74
2024-09-21 22:00:08 24.38 46.81
2024-09-21 22:00:10 24.36 46.79
2024-09-21 22:00:11 24.36 46.78
2024-09-21 22:00:13 24.37 46.79
2024-09-21 22:00:14 24.39 46.80
2024-09-21 22:00:16 24.37 46.78
2024-09-21 22:00:17 24.37 46.76
2024-09-21 22:00:19 24.37 46.79
2024-09-21 22:00:20 24.36 46.81
2024-09-21 22:00:22 24.38 46.76
2024-09-21 22:00:23 24.36 46.83
2024-09-21 22:00:25 24.38 46.79
2024-09-21 22:00:26 24.37 46.80
2024-09-21 22:00:28 24.38 46.86
2024-09-21 22:00:29 24.39 46.87
2024-09-21 22:00:31 24.38 46.85
2024-09-21 22:00:32 24.40 46.84
2024-09-21 22:00:34 24.39 46.86
2024-09-21 22:00:35 24.36 46.81
2024-09-21 22:00:37 24.38 46.89
2024-09-21 22:00:38 24.36 46.79
2024-09-21 22:00:40 24.40 46.87
2024-09-21 22:00:41 24.36 46.82
2024-09-21 22:00:43 24.37 46.85
2024-09-21 22:00:44 24.38 46.85
2024-09-21 22:00:46 24.38 46.88
2024-09-21 22:00:47 24.40 46.85
2024-09-21 22:00:49 24.38 46.81
2024-09-21 22:00:50 24.39 46.92
2024-09-21 22:00:52 24.38 46.83
2024-09-21 22:00:54 24.38 46.82
2024-09-21 22:00:55 24.38 46.92
2024-09-21 22:00:57 24.38 46.88
2024-09-21 22:00:58 24.38 46.82
2024-09-21 22:01:00 24.39 46.87
2024-09-21 22:01:01 24.41 46.89
2024-09-21 22:01:03 24.38 46.83
2024-09-21 22:01:04 24.39 46.88
2024-09-21 22:01:06 24.38 46.89
2024-09-21 22:01:07 24.40 46.90
2024-09-21 22:01:09 24.42 46.90
2024-09-21 22:01:10 24.40 46.92
2024-09-21 22:01:12 24.39 46.87
2024-09-21 22:01:13 24.40 46.89
2024-09-21 22:01:15 24.40 46.82
2024-09-21 22:01:16 24.40 46.87
2024-09-21 22:01:18 24.41 46.86
2024-09-21 22:01:19 24.42 46.92
2024-09-21 22:01:21 24.40 46.89
2024-09-21 22:01:22 24.40 46.85
2024-09-21 22:01:24 24.39 46.87
